Dates,Prec,ETP,Q_obs
25/03/1968,    0.5751,4.5235296078,2.4470000267
26/03/1968,    0.0000,5.1107805911,2.1119999886
27/03/1968,    0.0000,5.2702541091,1.9190000296
28/03/1968,    0.0000,4.2973892801,1.8830000162
29/03/1968,    0.0000,5.251271069,1.7819999456
30/03/1968,    0.0000,5.2735092696,1.7649999857
31/03/1968,    0.0076,5.3132548723,1.7480000257
01/04/1968,    1.6783,3.6355526447,1.6469999552
02/04/1968,    3.2095,5.2973281499,1.6130000353
03/04/1968,    2.1685,5.1379420757,1.5119999647
04/04/1968,    0.3844,4.977588281,1.4950000048
05/04/1968,    0.3472,5.5982692111,1.4950000048
06/04/1968,    0.8706,5.7112370506,1.4780000448
07/04/1968,    0.0000,6.0670844205,1.3769999743
08/04/1968,    6.3786,5.3342561889,1.3600000143
09/04/1968,    3.9231,5.5981156006,1.3600000143
10/04/1968,    5.1935,5.2476262804,1.3430000544
11/04/1968,    2.8090,5.4482950885,1.2419999838
12/04/1968,    7.6538,4.9201195408,1.2250000238
13/04/1968,   11.4046,4.0005531777,1.2250000238
14/04/1968,    1.4242,3.1994316848,1.2589999437
15/04/1968,    7.5985,3.3489834908,2.0869998932
16/04/1968,    0.3683,4.8155544791,5.9629998207
17/04/1968,    4.4812,5.3226188701,6.896999836
18/04/1968,    0.2729,5.1766439807,5.6739997864
19/04/1968,    1.4103,2.5276436508,5.4029998779
20/04/1968,    4.4460,4.7944481131,5.0630002022
21/04/1968,    4.4781,4.1114050988,4.8540000916
22/04/1968,   18.8935,4.5498518739,4.7760000229
23/04/1968,    1.2708,4.4980959613,4.4400000572
24/04/1968,   12.4255,2.664975089,4.2309999466
25/04/1968,    1.9924,3.4144285256,3.9849998951
26/04/1968,    3.2755,3.8431008467,3.3250000477
27/04/1968,    7.2061,4.9500457905,2.5999999046
28/04/1968,   18.2026,4.3651674893,2.3629999161
29/04/1968,    0.3129,4.8648494985,2.2279999256
30/04/1968,   16.2704,3.0995398099,2.3380000591
01/05/1968,    0.6901,4.7274980415,3.1380000114
02/05/1968,    0.1355,4.993360009,3.7060000896
03/05/1968,    0.8213,4.5319267605,4.3369998932
04/05/1968,    1.8659,2.2874001879,5.5469999313
05/05/1968,    6.2379,4.3831537645,6.7800002098
06/05/1968,    8.2417,3.7858980726,9.7709999084
07/05/1968,    3.5098,4.7928021755,11.3299999237
08/05/1968,    0.0000,4.9249379225,11.6599998474
09/05/1968,    0.0000,5.100464588,11.25
10/05/1968,    0.0000,5.1217021812,9.8920001984
11/05/1968,    0.8885,5.3121727202,8.170999527
12/05/1968,   27.3700,4.7603192292,16.4099998474
13/05/1968,    0.7816,5.2466306295,22.9799995422
14/05/1968,    0.0000,4.8978407998,23.9699993134
15/05/1968,    1.4834,4.9606966693,23.7399997711
16/05/1968,    3.3748,3.6838456988,22.7700004578
17/05/1968,    1.8304,4.1188125648,21.2900009155
18/05/1968,    0.2649,4.1464781109,20.5900001526
19/05/1968,    0.2800,4.9759341571,19.2000007629
20/05/1968,    0.0000,4.9868918993,17.9799995422
21/05/1968,    9.0008,4.354930561,16.8899993896
22/05/1968,    2.5337,3.2308539087,14.3199996948
23/05/1968,    5.6037,3.4659260204,9.593000412
24/05/1968,    0.0000,3.1036017081,9.8640003204
25/05/1968,    2.2059,3.8244815459,11.5600004196
26/05/1968,    1.4575,4.9923865404,13.7299995422
27/05/1968,    3.1716,4.9869101886,13.7700004578
28/05/1968,    7.9100,3.722064401,12.6000003815
29/05/1968,    0.4495,3.9281815393,12.3800001144
30/05/1968,    5.8933,3.7187973466,12.6000003815
31/05/1968,    1.2010,3.9971473757,13.6199998856
01/06/1968,   11.8481,2.9871582109,14.3400001526
02/06/1968,    8.7671,3.8986355802,14.5200004578
03/06/1968,    0.0133,4.0353167616,13.8199996948
04/06/1968,    3.2490,4.4120503608,12.7399997711
